judul_proposal,deskripsi
BlackBerry Academic Program License Agreement - BBIC ITB,social and professional issue
Bantuan Penginternasional Terbitan Berkala Ilmiah (ITB Journal of Information and Communication Technologi) ISSN 1978-3086,social and professional issue
Bantuan Penginternasional Terbitan Berkala Ilmiah Batch IV Tahun ke III (ITB Journal of Engineering Science) ISSN: 1978-3051,social and professional issue
Proses Final Pendirian Universitas Trilogi,social and professional issue
Pembangunan dan Pelatihan Sistem Informasi Geografis Berbasis tempat Pemungutan Suara (TPS) dalam Menunjang Penyelenggaraan Pemilihan di Jawa Barat,information management
Pendirian Institut Tekonolgi Batam (ITEBA),social and professional issue
Penyusunan Dokumen Prioritas Proyek Infrastruktur Kota Bandung melalui Skema KPBU,enterprise computing
Studi Penilaian RKST dan BOQ Pekerjaan Pengadaan dan Pemasangan IBMS,enterprise computing
Pengembangan Situs Pengindeks Sitasi Jurnal-Jurnal Indonesia,software engineering
WCU PP - Pengembangan Media Pembelajaran Berbasis Komputer untuk Digital Learning - Lesson Study (DL-LS),software engineering
Pengembangan Model Mesin Vision,intelligent system
Pengembangan Sistem Internet Of Things (Iot) Untuk Pengelolaan Daya Dan Pemantauan Kondisi Lingkungan Tempat Tinggal,sistem komputer
Assessment of impact of the emission reduction measures of short-lived climate forcers on air quality and climate in Southeast Asia,information management
Study of Climate Change and Air Quality Impact from Short-Lived Climate Forcers (SLCFs) reduction in Indonesia,intelligent system
Kegiatan Asahi Glass Foundation,social and professional issue
Program Riset Unggulan 2012 Pusat Penelitian Teknologi Informasi dan Komunikasi (PPTIK-ITB),social and professional issue
Pembangunan Aplikasi Knowledge Management Online Monitoring System Diesel Engine Ukuran Besar,information management
Sistem Cerdas untuk Online Monitoring System pada Diesel Engine (Motor Bakar Torak Penyalaan Kompresi) Ukuran Besar,intelligent system
Sequential Pattern sebagai Fitur Pengelompokan Dokumen untuk Analisis Dokumen Pada Kasus BigData (Document Clustering based on Sequential Pattern for Document Analysis in Bigdata),information management
Biometrika - Application Framework Model untuk Evaluasi Metode-Metode Biometrik,graphics and visualization
Pemanfaatan Teknologi Digital Signage untuk mengembangkan Sistem Informasi dan Komunikasi Kepariwisataan Digital dalam Mendorong Industri dan Jasa Kreatif,enterprise computing
Hibah Jurnal yang Memenuhi Standar Mutu tatakelola,social and professional issue
Repository Informasi Objek Wisata dengan Teknologi Semantik Web dan Basisdata Multimedia untuk Pengelolaan dan Promosi Desa Wisata,information management
Bantuan Penginternasionalan Terbitan Berkala Ilmiah Batch III Tahun ke III,social and professional issue
Pelaksanaan Bantuan Penginternasionalan Terbitan Berkala Imiah Batch IV Tahun ke II (ITB Journal of Engineering Science),social and professional issue
Pelaksanaan Bantuan Penginternasionalan Terbitan Berkala Ilmiah Batch IV Tahun Ke II (Journal of Information an Communication Technology),social and professional issue
Studi Potensi Ekonomi Industri dan Sumberdaya Manusia dalam rangka Pendirian Institut Teknologi di SUmatera,social and professional issue
Penerapan dan Implementasi Teknologi Virtual Class untuk Daerah Rural,software engineering
Pengembangan Sistem Remote Monitoring Siaran Radio FM,sistem komputer
Pengembangan Sistem Pasar Virtual untuk Pemberdayaan Ekonomi Rakyat,software engineering
Penerapan dan Implementasi PSS Akses Informasi/Multimedia Berbasis Jaringan Broadband untuk Mendukung Gerakan Guru Melek Internet (GGMI) di Jawa Barat,sistem komputer
Solusi Smart (Card) Untuk Kebutuhan Konektivitas MP3EI . Studi Kasus : Data Rekam Medis Elektronik,sistem komputer
Pemanfaatan Teknologi Digital Signage untuk Mengembangkan Sistem Informasi dan Komunikasi Kepariwisataaan Digital dalam Mendorong Industri dan Jasa Kreatif,enterprise computing
Pengembangan Teknologi Pengelolaan Data Spasial untuk Model Korporasi pada Platform Google Maps,information management
Teknologi Pelacakan Dokumen Untuk Meningkatkan Efisiensi Birokrasi Dan Mendukung Percepatan Dan rluasan Ekonomi Indonesia,information management
Perancangan dan Implementasi Sistem Keamanan Data untuk Radar,sistem komputer
"Solusi Smart (Card) Untuk Kebutuhan Konektivitas MP3EI, Studi Kasus: Data Rekam Medis Elektronik",sistem komputer
Teknologi Pelacakan Dokumen Untuk Meningkatkan Efisiensi Birokrasi Dan Mendukung Percepatan Dan Perluasan Ekonomi Indonesia,information management
Pemberian Bantuan Dana Riset Pembangunan Indonesia Terkait Sistem Analisis Komunikasi Massa Online (Studi Kasus Kota Bandung),sistem komputer
Pemberian Bantuan Dana Riset Mobil Listrik Nasional,social and professional issue
Penugasan Penyusunan Sistem Aplikasi Indeks Sitasi Jurnal Nasional,software engineering
Kegiatan Konferensi Nasional Informatika 2011 (KNIF 2011),social and professional issue
Pendampingan Penguatan Tata Kelola TI Perum Perhutani 2012,enterprise computing
Pagelaran Mahasiswa Nasional Bidang Teknologi Informasi dan Komunikasi (geMasTIK) Tahun 2013,social and professional issue
Cooperative Relationship With Aim of Developing and Fostering Academic links Between their Two Institutions,social and professional issue
Utilizing ICT For Better City,enterprise computing
Job Fair ITB,social and professional issue
Seminar Internasional Conference on Advanced Informatics Concepts theory And Applications (ICAICTA),social and professional issue
Dana Legalisir,social and professional issue
Teknologi Konferensi Multimedia untuk Sekolah Pedesaan dengan Bandwith Internet Terbatas,sistem komputer
"Penerapan Smart Gateway untuk Mendukung Komunitas Guru Belajar (KGB) di Bandung, Cianjur, dan Subang - Jawa Barat",intelligent system
Pemanfaatan Social Media Marketing untuk Sentra Industri Rajutan Binongjati,social and professional issue
Penerapan Sistem Kelas Virtual Multimedia Berbasis Teknologi WebRTC untuk Pembelajaran Digital di Sekolah Dasar Pedesaan di CIanjur - Jawa Barat,sistem komputer
Pengembangan Aplikasi Sarana Pelayanan Masyarakat (SAPA) Berbasis Mobile untuk Mendukung Integrasi Informasi Program Posyandu Jawa Barat,software engineering
Pemanfaatan Electronic Marketplace di Indonesia untuk Meningkatkan Jangkauan Pasar UKM di Kota Cimahi,enterprise computing
Pemanfaatan Media Sosial untuk Peningkatan Usaha bagi Start-Up Company,enterprise computing
Pemberdayaan Komunitas Guru di Cianjur untuk Mendukung Gerakan Guru Melek Internet (GGMI),social and professional issue
Pengembangan Sistem untuk Prediksi Kredibilitas Informasi dari jejaring Sosial Online,intelligent system
Pengembangan Model Adopsi Cloud Computing untuk Perguruan Tinggi,sistem komputer
Genomic Data Mining Untuk Prediksi Resiko Penyakit Kompleks Dalam Rangka Menunjang Personalized Medicine,information management
Manajemen Informasi Unpredictable pada Basisdata Spatio Temporal - Kasus Tanggap Darurat Kebencanaan Indonesia,information management
Manajemen Informasi \Unpredictable\ pada Basisdata Spatio-Temporal Kasus Tanggap Darurat Kebencanaan di Indonesia,information management
Analisis Sentimen Real Time Pada Microblogging,intelligent system
"Rancangan Dasar Sistem Biometrik Berbasis Pengenalan Sidik Jari, Wajah, dan Suara",intelligent system
Pengembangan Perangkat dan Layanan Konferensi Video pada Private Area Networks,software engineering
Inovasi Platform Cloud untuk Pelayanan Publik di Indonesia,sistem komputer
Pendeteksi Plagiarisme Cerdas untuk Karya Ilmiah Multibahasa (Indonesia dan Inggris),intelligent system
Pembangkitan Otomatis Liputan Berit Waktu Nyata dengan Peringkasan Timeline (Generating Live Report Automatically Using Timeline Summarization)),information management
Peringkasan Terpandu Otomatis untuk Aggregator Berita Bahasa Indonesia,intelligent system
Pengembangan Sistem Peringkasan Opini,intelligent system
Pengembangan Sistem Peringkasan Opini (Lanjutan Tahun Kedua),intelligent system
Pengembangan Mesin Penerjemah Teks Bahasa Sunda ke dalam bahasan Indonesia Menggunakan Metode Berbasis Hybrid,intelligent system
Pembangkitan Peta Penelitian Otomatis dari Kumpulan Makalah Ilmiah - Penelitian Lanjutan 2014,intelligent system
Peringkasan Otomatis Informasi Pelengkap Berita Berbahasa Indonesia dari Media Sosial,intelligent system
Pengembangan Sistem parkir Berbasis Mesin Vision,graphics and visualization
Pengembangan Simulasi Animasi Menggunakan Teknik Animasi Diferensial,graphics and visualization
Pengembangan Sistem Perangkat Lunak Pemilahan Frekuensi Napas untuk Diagnosa Penyakit Paru dan Saluran Pernapasan,software engineering
BotBerita: Pembangkit Artiket Berita Otomatis sebagai Pendukung Jurnalis (BotBerita: News Writing Bot for Supporting Journalist),intelligent system
Pengembangan Sistem Interktif untuk Peringkasan Multi Paper,intelligent system
Pengembangan Beberapa Alogaritma Enkripsi Selektif Untuk Citra Digital Dengan Menggunakan Fungsi Chaos,algoritma dan pemrograman
Conversational Recommender System berbasis Kebutuhan Fungsional Produk,intelligent system
Kendali Terdistribusi dengan Algoritma Konsensus pada Sekelompok Robot Humanoid,sistem komputer
Pembangkitan Peta Penelitian Otomatis dari kumpulan Makalah Ilmiah,intelligent system
Algoritma Resampling Baru dan Konsep Partikel Fleksibel pada Filter Partikel untuk Penentuan Lokasi pada Robot Wahana Gerak Mandiri,algoritma dan pemrograman
Pengembangan Metode Berbasis Valid Database untuk Pengangganan Data Hilang dalam Proses Ekstraksi Struktur Bayesian network dari Data,information management
Pengembangan Sistem Peringkasan Progresif Otomatis untuk Kumpulan Makalah Ilmiah,intelligent system
Digital Store Berbasis Contact Center Terintegrasi Untuk Penguatan UMKM di Indonesia,information management
Pengembangan Rekayasa kognitif dengan Studi Kasus Robot Kognitif Probabilistik,intelligent system
Pengembangan Smart Gateway untuk Mendukung Layanan Komunitas guru belajar di Pedesaan,intelligent system
Pemanfaatan Sequential Pattern pada Tahap Preprocessing Untuk Peningkatan Kinerja Proses Klasifikasi Data Dengan Struktur Kompleks & Progresif,information management
Integrasi Instrumentasi Medis dengan Sistem Manajemen DOTS Multimedia ntuk Mendukung Program Nasional Penanggulangan Tuberkolosis,information management
Pengembangan Rural Telepresence untuk Pembelajaran Jarak Jauh di Sekolah Pedesaan,sistem komputer
Pengembangan open Information Extraction (Open IE) untuk Pembangunan Basis,information management
Pengelolaan Data Spatio-Temporal (STATEM) untuk Kebencanaan di Indonesia,information management
Pengembangan Smart Gateway Untuk Mendukung Layanan Komunikasi Guru Belajar di Pedesaan,intelligent system
Integrasi Instrumentasi Medis dengan Sistem Manajemen DOTS Multimedia untuk Mendukung Program Nasional Penanggulangan Tuberkulosis,information management
Model Deteksi Kemacetan Berdasarkan Tingkat Kepadatan dan Kecepatan Kendaraan,intelligent system
"Pengembangan Perangkat Lunak Lunak Perisalah Rapat dengan Memanfaatkan Teknologi Pengenal Ucapan, Mesin Translasi, dan Peringkas Otomatis",intelligent system
Digital Store Berbasis ContactCenter Terintegrasi Untuk Penguatan UMKM di Indonesia,information management
Simulasi Risiko Penyebaran Api di Kawasan Pemukiman Padat Perkotaan Berbasis Model data Spatio-Temoral,information management
Pengembangan Aplikasi dan Konten Rencana Pelaksanaan Pembelajaran (RPP) pada Platform Android untuk Mendukung Pendidikan Nasional,software engineering
Sistem Pemahaman Konten Citra Digital dengan Metode Non Statistik,graphics and visualization
Pengembangan Model Indigenous Knowledge Management berbasis Teknologi Informasi,intelligent system
Desain dan Implementasi Sistem Komunikasi Multimedia Real-Time di Jaringan Internet Pedesaan,sistem komputer
Pengembangan Aplikasi Ponsel Cerdas Berbasis Moodle untuk Pembelajaran Online di Perguruan Tinggi,software engineering
Pengembangan Chatbot Berbahasa,intelligent system
Indonesia Peringkasan Terpandu Otomatis,intelligent system
Sistem Pengenalan Ucapan untuk Bahasa Indonesia,intelligent system
Impelmentasi Lokalisasi dan Pemetaan Serentak Berbasis Partikel Filter Terdistribusi pada Mobile Robot Pioneer,sistem komputer
Pengembangan Chatbot Berbahasa Indonesia,intelligent system
Peringkasan Terpandu Otomatis,intelligent system
kemitraan Dalam Pembuatan Proses Bisnis Sistem Informasi Rumah Sakit RSAB Harapan Kita,enterprise computing
Blackberry Academic Program License Agreement,social and professional issue
Power system disturbance suppresion by reactive power compensation,hardware
Kajian Pembiayaan Direct Charges Teknologi Informasi dan Komunikasi (TIK) Kontraktor Kontrak Kerja Sama (KKKS),social and professional issue
Pengembangan kemampuan Perangkat Lunak Perisalah Rapat Secara Real Time Dalam Bahasa Indonesia Milik PT Industri Telekomunikasi Indonesia (Persero),enterprise computing
Kegiatan Swakelola Implementasi Sistem Operasi Terpadu (SOT)Pengelolaan Sumber Daya Migas Tahap 3,sistem komputer
Research on Indonesian Social Media on Purchasing Behaviour,social and professional issue
Research Agreement between MarkAni Incorporated (KOREA) and Institut Teknologi Bandung,social and professional issue
Analisis dan Peningkatan Tata Kelola Keamanan Informasi,information management
Penyusunan Dokumen Masterplan Smart City Kota Magelang,enterprise computing
Implementasi Secure And Forensic Ready Transaction Network Di ITB,sistem komputer
Kajian Akademik Pengadaan Jasa Sewa Layanan Informasi Dan Komunikasi (INFOKOM) PT POS Indonesia (Persero),enterprise computing
Grand Design Data Center (DC) Dan DIsaster Recovery Center (DRC) Kerjasama Dengan ITB,information management
Program Pembangunan Sistem Informasi / Data Base Jalan Dan Jembatan Kota Semarang,information management
Rancang Bangun Basis Data Pegawai Untuk SIM Kepegawaian Dan Rancangan Interoperabilitas Data Rekam Medis Untuk Sistem Informasi Layanan,information management
"Kegiatan Swakelola Pemutakhiran Laporan Dan Sistem Pelaporan Sumberdaya, Cadangan Dan Perkiraan Profil Produksi",software engineering
"Letter of Cooperation Agreement Between Gloczus, Inc and School of Electrical Engineering and Informatics ITB",social and professional issue
Belanja Jasa Konsultansi Pembangunan / Pengembangan Aplikasi SKPD Tahun 2015,enterprise computing
"Kegiatan Swakelola Enterprise Architecture (EA), Enterprise PSC Data Architecture And Integration Berbasis Sevice Oriented Architecture (SOA)",enterprise computing
Kajian Business Intelligent dan Data Solution Sub Bidang Analisa dan Evaluasi Operasi Sistem,information management
Pengembangan Bisnis Proses Pelayanan Secara Elektronik (PSE) Pada BPMD-PTSP Kota Payakumbuh,enterprise computing
Belanja Jasa Konsultasi Software Aplikasi Pengembangan Platform Smart City Untuk Integrasi Data Dan Layanan,enterprise computing
Jasa Penyusunan dan Review Master Plan Teknologi Informasi PT Pos Indonesia (Persero),enterprise computing
Kegiatan Swakelola Implementasi Sistem Operasi Terpadu (SOT) Pengelolaan Sumber Daya Migas Tahap 2,sistem komputer
Belanja Jasa Konsultansi Software Aplikasi Aplikasi Absensi Pegawai Online,software engineering
Pengadaan Jasa Konsultansi Teknologi Informasi pada Jasa Sewa Layanan Infokom,enterprise computing
Secure And Ready Forensic Communication Network,sistem komputer
Jasa Konsultasi Studi Kelayakan Ducting bersama dan Blud,enterprise computing
Belanja Jasa Konsultasi Perencanaan Aplikasi Smart Government Tahun 2016,enterprise computing
Belanja Jasa Konsultasi Studi Kelayakan Microcell Pole / MCP,enterprise computing
Pengadaan Jasa Konsultan untuk Melaksanakan Network Audit terhadap Penggunaan / Pemanfaatan Tiang Tumpu PLN oleh PT Link Net.Tbk / PT First Media,sistem komputer
Pengembangan Sistem Informasi Kesehatan Dinas Kesehatan Tahun 2016,information management
Belanja Jasa Konsultasi Pembuatan Sistem Aplikasi Pelaporan dan Penugasan,software engineering
GANESHA HEJO: Program Pengelolaan Sampah Terintegrasi di Kawasan Ganesha,social and professional issue
Pengembangan Collaborative Learning System Berbasis Komputasi Awan (Development of Collaborative Learning System on the Cloud),sistem komputer
Pengembangan Perangkat Digital Signage dengan   Konsumsi Daya Rendah dan Ukuran yang Kompak,enterprise computing
Optimalisasi Bandwidth Internet di Instansi Pemerintah Melalui Pengukuran Produktivitas Penggunaannya   (Studi Kasus di Kampus ITB-Bandung),sistem komputer
SOA Quality Assessment Framework,software engineering
Penerapan GOAL-ORIENTED REQUIREMENT ANALYSIS(GORA) untuk Meningkatkan Keberhasilan Pengembangan Sistem Informasi di Instansi Pemerintah,information management
Online Communication Analysis System for Water Governance; Case study: Bandung city,enterprise computing
Sistem Digital Signage sebagai Media Informasi Publik dan Solusi Peningkatan Brand Awareness bagi Industri,enterprise computing
Pengembangan Kotak Komputer Server Sederhana Sebagai Media Belajar Interaktif (EduBox),sistem komputer
Pengembangan Perangkat Telepresence Sebagai Sarana Pertemuan Jarak Jauh Dengan Konsep Visualisasi Spatial Bagi Dunia Industri,graphics and visualization
Adaptif System for Internet of Thing (IoT) in Healthcare,sistem komputer
Teknologi Konferensi Multimedia untuk Sekolah Pedesaan dengan Bandwidth Internet Terbatas,sistem komputer
PHOTOMETER SYSTEM,intelligent system
QURAN RECITATION AUTOMATIC CHECKER,intelligent system
Sistem Produk-Layanan Kelas Virtual untuk Pembelajaran Jarak Jauh di Sekolah Dasar Pedesaan (Product-Service System on Virtual Class for Distance Learning in Rural Elementary School),sistem komputer
Peningkatan Literasi Komputer Guru Sekolah Dasar Pedesaan Dalam Pemanfaatan Layanan Pembelajaran Digital Pada Jaringan Testbed Bandung-Subang-Cianjur,social and professional issue
PEMBANGUNAN SISTEM KOMUNIKASI DAN KOLABORASI UKM UNTUK PROMOSI DAN PEMASARAN022-2508135,sistem komputer
Desain dan implementasi framework perangkat lunak aplikasi berbasis text untuk masyarakat daerah pedesaan Indonesia. (Design and implementation of the text-based applications software framework for Indonesia rural area communities),software engineering
Identifikasi Sidik Jari Dengan Pendekatan Komputasi Banyak Core (Many Core Computing),sistem komputer
Rancang Bangun Sistem Cerdas Tanya-Jawab berbasis SMS,intelligent system
Optimasi Sistem Konferensi Multimedia Berbasis Web Untuk Pembelajaran Digital Sekolah Dasar Di Pedesaan (Optimation of Web-based Multimedia Conference System for Digital Learning in Rural Elementary School),sistem komputer
Pengembangan Prototipe Sistem e-Government Terpadu yang Handal Berbasis Komputing Cloud,sistem komputer
Data Mining Data Genomik untuk Prediksi Resiko Penyakit Kompleks,information management
Voice Command Bahasa Indonesia untuk Telepon Seluler,intelligent system
Testbed Disaster Manajemen Information System (DIMaS) kasus DIMaS SIAGA,information management
Peranancangan Digital Office System  (Layanan untuk Kantor Pemerintahan Kabupaten/Kota),enterprise computing
Desain dan Implementasi Mobile Learning Berbasis SOA dan Integrasi Service Cloud Computing untuk Mendukung Proses Belajar Mengajar di Sekolah,sistem komputer
Sistem Verifikasi Identitas Kependudukan Terpadu,software engineering
Desain Proxy Cloudlet pada Mobile Cloud Computing,sistem komputer
PEMBANGUNAN PLATFORM CLOUD YANG TEPAT GUNA BAGI KOMUNITAS BERGERAK,sistem komputer
Pengembangan Sistem TIK untuk Kelas Berbasis VIDEOLAN untuk Mendukung Layanan Pembelajaran Jarak Jauh di Pedesaan,sistem komputer
Pengembangan Komunitas Siswa Belajar Berbasis TIK (Studi Kasus Desa Punclut-Jawa Barat),social and professional issue
Cloud Health di Indonesia (CLoud Health Reminder System Tuberculosis),sistem komputer
: Alat Bantu Identifikasi Plagiasi Dokumen menggunakan Informasi Sintaks dan Latent Semantic,intelligent system
Kajian dan Implementasi Sistem Visual Interaktif untuk Analisa Geometrik dari Kromosom,graphics and visualization
Peningkatan Literasi TIK Komunitas Guru Sekolah Bandung-Subang-Cianjur untuk Mendukung e-Learning,social and professional issue
Pemodelan Kinerja Jaringan Nirkabel Berbasis   IEEE 802.11 yang Mendukung Kualitas   Layanan Video Streaming,sistem komputer
Pengembangan Embedded Virtual Class Box untuk Mendukung Pembelajaran Jarak Jauh untuk Sekolah di Daerah Rural,software engineering
Jaminan Kualitas Layanan Cross-Layer pada Multimedia  Streaming di Jaringan Wireless Internet (Cross-Layer Based QoS in Multimedia Streaming in Internet  Wireless Network),sistem komputer
Pembangkit Portofolio Siswa Otomatis,intelligent system
Semantic Tecjnology untuk Mendukung Interoperabilitas Antar Model Informasi Electronic Health Record (EHR),information management
PEMBANGKITAN SOAL KUIS OTOMATIS PADA   EVALUASI PEMBELAJARAN DIGITAL,intelligent system
Pemodelan Struktur Metadata IRySS (Intelligent Repository Storage System) - Kasus Komponen Dasar Doman Independen IRySS,information management
Digital Course-Content Creator,software engineering
Sistem Pendeteksian Obyek dalam Video Untuk Layanan Video Berbasis Komputasi Awan,graphics and visualization
Pengelolaan Pengetahuan & Teknologi Pangan untuk meningkatkan kualitas nutrisi mayarakat Indonesia,software engineering
Pendeteksi Plagiarisme Karya Ilmiah Multibahasa (Indonesia dan Inggris),intelligent system
Digital Learning Platform,software engineering
Sistem Remote Monitoring Sensor Bencana Menggunakan Teknologi Komunikasi Akses GPRS dan Teknologi Server Cloud Computing,sistem komputer
Pengembangan Information Center sebagai Sarana penyediaan informasi bagi Badan Publik (UU 18 2008 KIP),information management
Sistem Monitoring Nasional Kinerja Pengelolaan Sampah Perkotaan di Indonesia,information management
Pengembangan Sistem Perangkat Lunak Interpretatif untuk Pengenalan Lokasi berbasis Obyek Terdeteksi dari Gambar,graphics and visualization
Sistem Manajemen Konten Pembelajaran Multimedia untuk Mendukung e-Learning,information management
Protokol Pengiriman Data Video untuk Jaringan Nirkawat 4G,sistem komputer
Pengembangan Visualisasi dan Editor Kode Program pada Perangkat Android,algoritma dan pemrograman
Karakterisasi Cloud Computing untuk Smart Power Grid Indonesia,sistem komputer
Model Intelligent Transportation System berbasis Cloud Computing untuk Green Infrastructure,sistem komputer
Perancangan Cloud-based Mobile Kiosk sebagai layanan informasi terpadu untuk masyarakat pedesaan,sistem komputer
Service Quality Assessment Framework,software engineering
Rancangan Dasar Sistem Pengelolaan Pengetahuan untuk Kepakaran ITB,intelligent system
Integrasi Data Genom (Genomic Data) dalam Electronic Health Record (EHR),information management
Deviation Detection via Visualization,graphics and visualization
Pengembangan Sistem Manajemen Perpustakaan Dijital Universitas berbasis Dokumen Elektronik,information management
Simulasi Fluida 2 D Berbasiskan Partikel Menggunakan Smoothed Particle Hydrodynamics Untuk Aplikasi Mobile Interaktif,algoritma dan pemrograman
Analisis Teknologi Multicast Sebagai Aplikasi Alternatif Untuk Layanan Konferensi Video Pada Testbed Low Speed Network,sistem komputer
Pengembangan Sistem Monitoring Berbasis Web Untuk Mendukung Kelangsungan Layanan Digital Learning Pedesaan,software engineering
Integrasi Media Sosial Microblog dalam Massive Open Online Course (MOOC),software engineering
Pengembangan Model Enterprise Information Center sebagai implementasi Karakterisasi Informasi,enterprise computing
Teknik QoS pada Layanan Kelas Virtual dengan Teknologi Tele-Konferensi untuk Mendukung Digital Lesson Study,sistem komputer
Pengembangan Metode Kompresi Dictionary-Based Pseudo Parallel didalam Meningkatkan Daya Tampung SMS Massal Terpersonalisasi Menggunakan Bahasa Indonesia,algoritma dan pemrograman
Pengembangan Customized Social Network Berbasis Web untuk Menunjang Lesson Study secara Online,software engineering
Pengembangan Platform Virtual Class Box untuk Layanan Pembelajaran Digital,software engineering
Pemanfaatan Teknologi Digital Signage untuk mendukung dan meningkatkan Sistem Informasi dan Komunikasi Kampus,enterprise computing
Peningkatan Literasi TIK pada Pembelajaran Online Kolaboratif bagi Komunitas Guru di Jawa Barat,software engineering
Sistem Komunikasi Visual Secara Immersive Untuk Distance Learning,sistem komputer
Pembangunan Digital Learning Platform,software engineering
Pengembangan Jejaring Sosial untuk Pembelajaran Kolaboratif (Smart Learning System),software engineering
Sistem Penanda Hak Cipta pada Peta Vektor SIG (Sistem Informasi Geografis),information management
"Metode Akses Langsung untuk Optimasi Kecepatan Identifikasi Sidik Jari, Wajah, dan Suara pada Database Skala Besar",information management
Studi Penerapan dan Dampak Mobile Cyber Market pada Masyarakat Petani di Lingkungan DAS Citarum,social and professional issue
Uji Model Basisdata Spatio-Temporal untuk Kebencanaan di Indonesia,information management
Pengembangan Software Antarmuka Digital Content-Course Creator berbasis Freeware untuk Mendukung Digital Learning,software engineering
Pembangkit Portofolio Siswa,intelligent system
Perancangan dan implementasi perangkat Audience Computer untuk mendukung program Digital Learning,software engineering
PENCETAKAN LULUSAN SMA/SMK MENJADI WIRAUSAHA TUTOR EKTRA KURIKULER,sistem komputer
KOMPARATOR GAMBAR  BERBASIS STATISTIK DAN BENTUK GEOMETRI,graphics and visualization
Pengembangan Konten Video Ajar Perkuliahan Berbasis Blended Learning dan Pengukuran Efektivitasnya untuk Perkuliahan Teknologi Informasi,information management
Simulasi Fluida Berbasis Partikel Untuk Aplikasi Mobile  Interaktif,algoritma dan pemrograman
Pengembangan Customized Social Network Berbasis Web untuk Menunjang Lesson Study secara Online (Development of Web-based Customized Social Network for Supporting Online Lesson Study),software engineering
Arsitektur QoS pada Aplikasi Multimedia Delivery untuk Mendukung Digital Lesson Study (QoS Architecture on Multimedia Delivery Application for Supporting Digital Lesson Study),software engineering
Analisis Teknologi Multicast Sebagai Aplikasi Alternatif Untuk Layanan Konferensi Video Pada Testbed Low Speed Network,information management
Assessment Framework Perkuliahan  berbasis Business Intelligence Tahap I: Sistem Penunjang Tesis,software engineering
Pengembangan Framework  Learning ManagementSystem dengan Autograder  untuk Ujian dan Praktikum Programming,graphics and visualization
Deviation Detection via Visualization,information management
PENJAMINAN INTEGRITAS DATA UNTUK KEAMANAN TRANSAKSI PETA DIGITAL MENGGUNAKAN DIGITAL WATERMARKING,software engineering
Pengembangan Kerangka Penilaian Empiris untuk Model Kualitas Pembelajaran Digital,intelligent system
PEMBANGKITAN SOAL DAN PEMERIKSAAN JAWABAN  ESSAY SECARA OTOMATIS UNTUK EVALUASI   PEMBELAJARAN DIGITAL  (An Automatic Question Generator and Answer Judgment for Digital Learning Evaluation),information management
Solusi lojik penanganan objek bergerak dalam model Basisdata Spatio Temporal Kebencanaan Indonesia,information management
Pengembangan Model Kualitas Informasi untuk Rumah  Sakit dengan menggunakan pendekatan Six-Sigma,software engineering
Peningkatan Daya Saing Pedagang Eceran Tradisional dengan Penerapan Aplikasi Point of Sale  berbasis Smartphone,software engineering
Pengembangan Aplikasi Sarana Pelayanan Masyarakat (SAPA) Berbasis Mobile Untuk Mendukung Integrasi Informasi Program Posyandu Jawa Barat,information management
