judul_penelitian,keahlian_id
Sistem Social Internet Of Things (Iot) Untuk Ruang Dan Lingkungan Cerdas (Smart,9
Pengembangan Rumah Cerdas Yang Sadar-Konteks (Context Aware) Di Atas Embedded Sy,9
"Identifikasi Dan Analisis Biomarker Pajanan Pm2,5 Dan Gas Buang Kendaraan Di J",4
Sistem Emergency Response Bencana Gempa Bumi Pintar Berbasiskan Algoritma Kecerd,4
Learning Analytics To Investigate Learning Patterns And Develop Intervention Too,7
Visualisasi Dan Analisa Perubahan Struktur Cluster Dan Pola Migrasi Pada Data Me,6
Pengembangan Dosimetri Dan Visualisasi Pada Rancang Bangun Treatment Planning Sy,6
Visualisasi Dan Analisa Perubahan Struktur Cluster Dan Pola Migrasi Pada Data Me,6
Blended Learning: Solusi Peningkatan Kemampuan Berbahasa Inggris Dosen,7
Pengembangan Aplikasi Berbasis Clustering Dan Prediksi Untuk Pemetaan Potensi Su,7
Perangkat Lunak Bantu Untuk Rekonstruksi Srs Dari Perangkat Lunak Jadi,5
Pendekatan Implementasi Teknologi Informasi Berbasis Pengguna Pada Rumah Sakit D,4
Klasifikasi Subtipe Kanker Payudara Menggunakan Metode Extreme Learning Machine,7
Pengembangan Kerangka Aplikasi Enterprise Resource Planning (Erp) Untuk Healthca,9
Pembentukan Model Integrasi Tipe Data Pasien Untuk Tujuan Identifikasi Subtipe K,4
"Perencanaan Strategis Sistem Informasi Dinas Kesehatan Di Kabupaten Tanah Bumbu,",4
Sistem Pendeteksi Kecurangan Dalam Ujian Berbasis Multi Kamera Dan Komputasi Awa,7
Klasifikasi Subtipe Kanker Payudara Menggunakan Metode Extreme Learning Machine,7
Real Time Advanced Traffic Information Gathering Dengan Menggunakan Intelligent,7
Intellegent Traffic System For Sustainable Environment,7
Pengembangan Sistem Deteksi Emosi Dalam Meningkatkan Kualitas Kesehatan Psikis (,7
Real Time Advanced Traffic Information Gathering Dengan Menggunakan Intelligent,7
Sistem Pemantauan Cerdas Penentu Kualitas Embrio Manusia Pada Fertilisasi In-Vit,7
Sistem Pemantauan Konsentrasi Co2 Menggunakan Wireless Sensor Network Sebagai La,7
Pengembangan Sistem Penilaian Kualitas Embrio Pada Bayi Tabung,7
Pengembangan Sistem Deteksi Emosi Dalam Meningkatkan Kualitas Kesehatan Psikis (,7
Evaluasi Model Pembelajaran Berbasis Teknologi Informasi (Fasilkom),7
Pengembangan Dosimetri Dan Visualisasi Pada Rancang Bangun Treatment Planning Sy,6
Pengembangan Lingkungan Komputasi Gpu Untuk Meningkatkan Kinerja Simulasi Dinami,3
Pengembangan Prototipe Model Data Spatiotemporal Dan Aplikasinya Dalam Clusterin,7
Pembuatan Perangkat Lunak Perhitungan Index Par Untuk Penatalaksanaan Ortodonti,5
Pengembangan Pusat Penapisan Kelainan Genetik Indonesia : Penapisan Kelainan Gen,NULL
Swarm Robots Based On Semantically Supported Object-Context Recognition For Reco,7
Swarm Robots Based On Semantically Supported Object-Context Recognition For Reco,7
Smart E-health System For Early Detection Of Heart Disease And Intrauterine \r\nGr,7
Implementasi Knowledge Management Bagi E-Health Indonesia,7
Implementasi Knowledge Management Pengetahuan Tradisional Berbasis Sumber Daya G,7
Pengembangan Platform Indonesia-Open Educational Resources Berbasis Partisipasi,1
Model Pengendalian Kepemilikan Ternak Sapi Di Provinsi Ntb Menggunakan Geographi,7
Personalisasi Dinamis Yang Berorientasi Keluaran Pembelajaran Dengan Menggunakan,7
"Analisis Trend, Overlap, Dan Plagiarisme Pada Teks Bahasa Indonesia Sebagai Upay",7
Exploratory Large Scale Intellectual Property Document Database System,4
Indonesian Sign Language Machine Translation,7
Strategi Meningkatkan Keterampilan Bernalar Matematis Menggunakan Self-Monitorin,7
Pembentukan Model Integrasi Tipe Data Pasien Untuk Tujuan Identifikasi Subtipe K,4
Penapisan Virtual Dalam Lingkungan Graphic Processing Unit Terhadap Database Sen,4
Sistem Pendukung Keputusan Nasional E-Health Berbasis Web Interaktif Pada Penang,7
Integrating Powerful Graphical Processing Unit Into Cloud Computing Prototype Pl,3
Penapisan Virtual Dalam Lingkungan Graphic Processing Unit Terhadap Database Sen,4
The Development Of Cloud Computing Prototype Platform To Support Drug Discovery,3
Pengembangan Lingkungan Komputasi Gpu Untuk Meningkatkan Kinerja Simulasi Dinami,3
Pengambilan Keputusan Karir Pada Usia Dewasa Muda Di Indonesia Berbasis Sistem I,7
Pengambilan Keputusan Karir Pada Usia Dewasa Muda Di Indonesia Berbasis Sistem I,7
Pengembangan Lingkungan Komputasi Multi-Gpu Untuk Meningkatkan Kinerja Proses Si,3
Implementasi Dan Validasi Model E-Livestock Indonesia Pada Level Kabupaten/Kota,7
"Penyusunan Model, Siklus, Dan Proses Knowledge Management Psikiater Bagi Pengemb",7
Early Detection Application Of Bone Fractures Using Image Analysis Of Dental Pan,7
Pembangunan Dan Manajemen Aplikasi Ujian Online Bagi Man Kota Blitar Dan Ma Math,5
Early Detection Application Of Bone Fractures Using Image Analysis Of Dental Pan,7
Ibm Wirausahawan Muda Di Sampang,8
Sistem Housekeeping Untuk Pemantauan Kesehatan Satelit Nano,7
"Rancang-Bangun Subsistem Satelit Nano Cubesat, Fasilitas Pengujian Awal Dan Stas",10
Rancang-Bangun Satelit Nano Universitas Gadjah Mada Ugmsat-1,10
Sistem Evaluasi Tanaman Produktif Berdasar Foto Udara,7
Pengembangan Dan Penerapan Teknologi Informasi Pada Pengklasifikasian Daun Temba,5
Rekomendasi Penanganan Penyakit Tropis Menggunakan Alat Bantu Berbasis Komputer,7
Pengembangan Informatika Dan Jejaring Pertanian Untuk Penyuluh Pertanian Lapanga,5
Interoperability Of Heterogeneous Intelligent Environment For Enhancing E-Learni,7
Pengembangan Sistem Diagnosis Tanaman Untuk Mendukung Hutan Yang Lestari,5
Pengembangan Sistem Diagnosis Tanaman Untuk Mendukung Hutan Yang Lestari,5
Pengembangan Capture & Sharing Manajemen Pengetahuan Berbasis Web Minng Dan Web,5
Interoperability Of Heterogeneous Intelligent Environment For Enhancing E-Learni,7
Pengembangan Capture & Sharing Manajemen Pengetahuan Berbasis Web Minng Dan Web,5
Interoperability Of Heterogeneous Intelligent Environment For Enhancing E-Learni,7
Rancang Bangun Aplikasi Mobile Berbasis Media Sosial Dan Natural User Interface,5
Tropical Medical Information System (Tmis) Sebagai Simrs Yang Handal Dan Berdaya,7
Tropical Medical Information System (Tmis) Sebagai Simrs Yang Handal Dan Berdaya,7
"Ibm Sd Budi Mulia Dua Sedayu Dan Tk Budi Mulia Dua Sedayu, Pengembangan Model Pe",NULL
Pengembangan Lembar Kerja Siswa (Lks) Matematika Realistik Di Smp Berbasis Onlin,5
Sistem Monitoring Dan Diagnosis Diabetic Retinopathy,7
Intelligent Warehouse Management System,7
Intelligent Warehouse Management System,7
"Implementasi Program Laporan Akuntansi Dasar Dan Pelatihan Excel, Powerpoint Ser",1
"Sistem Manajemen Arus Lalu Lintas Cerdas, Studi Kasus: Di Kota Kupang, Ntt",4
PENGEMBANGAN MODEL OPTIMASI \r\nUNTUK PENJADUALAN DOKTER PADA KEADAAN DARURAT BERB,7
"Traffic Management System By Computer Vision, Computer Simulation, And Statistic",4
"Sistem Manajemen Arus Lalu Lintas Cerdas, Studi Kasus: di Kota Kupang, NTT",4
PENGEMBANGAN MODEL OPTIMASI \r\nUNTUK PENJADUALAN DOKTER PADA KEADAAN DARURAT BERB,7
Aplikasi Manajemen Penyakit Diabetes Menggunakan Konsep Software As A Service,5
Pembuatan Kerangka Kerja Penentuan Harga Perkiraan Sendiri Hps) Untuk Proyek Pen,7
Ibm Pengrajin Batik: Pelatihan Desain Batik Dan Pemasaran Kain Batik Berbasis Ko,8
Otomasi Dan Optimasi Produksi Busana Berbahan Baku Kain Batik,2
Pengembangan Kerangka Kerja Penggunaan Teknik Process Mining Untuk Analisis Dan,7
Pengembangan Kerangka Kerja Penggunaan Teknik Process Mining Untuk Analisis Dan,7
Pengembangan E-Learning Di Tingkat Sekolah Menengah Untuk Mendukung Metode Pembe,5
Seni Karawitan Untuk Masyarakat Melalui Pengembangan Gamelan Emulator Portable,5
Seni Karawitan Untuk Masyarakat Melalui Pengembangan Gamelan Emulator Portable,5
Beat-Tracking Menggunakan Comb Filter Resonator Pada Sinyal Musik Gamelan Jawa,7
Multi Channels Cross-Correlation-Based Textural Features For Gamelan Instruments,7
Peningkatan Percepatan Pembelajaran Dengan Menggunakan Layanan Tik,5
Pengembangan  Perangkat  Lunak  Modul  Plug-in  Simulasi \r\nSebagai  Alat  Bantu,5
Pengembangan Sistem E-Incubator Untuk Mendukung Efektifitas Manajemen Pusat Inku,5
Pengembangan Sistem Tik Untuk Mendukung Keselamatan Transportasi Kereta Api,5
Implementasi Aplikasi Manajemen Online Untuk Usaha Mikro Laundry Guna Mempermuda,5
Perangkat Lunak Untuk Klasifikasi Motif Kain Tradisional Indonesia,5
"Pengembangan Perangkat Lunak Pendeteksi Hard Exudates, Macular Edema Dan Kelaina",5
Penyempurnaan Itsbatik : Perangkat Lunak Untuk Mendesain Batik,5
"Pengembangan Perangkat Lunak Pendeteksi Hard Exudates, Macular Edema Dan Kelaina",5
"Aplikasi Mobile Brain-Computer Interface (Bci) Pendeteksi Kantuk, Untuk Peningka",5
Perumusan Kebijakan Implementasi Konsep 5R Di Lingkungan Kantor Its Menuju Terwu,8
Aplikasi Cerdas Peta Dan Penunjuk Tempat Pada Pasar Atau Shopping Mall   Yang Te,7
Rancang Bangun Aplikasi Customizable Enterprise Resource Planning Berorientasi S,5
Integrasi Fungsi Enterprise Resoure Planning Untuk Ukm Menggunakan Pemrograman W,9
Smart Blood Traceability System,7
Pemanfaatan It Untuk Optimasi Produksi Dan Pemasaran Pada Ukm Kerajinan Sulaman,7
Identifikasi Sel Menumpuk Pada Citra Mikroskopik Untuk Meningkatkan Akurasi Peng,7
Cellmorph: Aplikasi Analisis Morfologi Sel Pada Citra Mikroskopis Untuk Deteksi,5
Peringkasan Multi Dokumen Berita Berbahasa Indonesia Berdasarkan Trending Issue,7
"Sistem Manajemen Arus Lalu Lintas Cerdas, Studi Kasus: Di Kota Kupang, Ntt",4
Pemantauan Pendistribusian Bbm (Bahan Bakar Minyak) Menggunakan Gps(Global Posit,7
Ibukreatif: Aplikasi Pembelajaran Terpadu  Untuk Menunjang Kreativitas Dan Pembe,5
E-Pkk: Aplikasi Penunjang Peningkatan Peran Serta Komunitas Pkk Dalam Program Pe,5
PENGEMBANGAN SISTEM PERINGATAN BENCANA \r\nTSUNAMI,5
Kajian Dan Perumusan Kebijakan Tata Kelola Tik,8
Ibm Guru Sekolah Dasar Surabaya Untuk Membuat Animasi Multimedia Pembelajaran,5
Aplikasi Enterprise Resoure Planning Untuk Usaha Kecil Menengah Menggunakan Kons,9
Aplikasi Enterprise Resoure Planning Untuk Usaha Kecil Menengah Menggunakan Kons,9
Deteksi Anomali Pada Proses Bisnis Menggunakan Metoda Process Mining,7
Aplikasi Enterprise Resoure Planning Untuk Usaha Kecil Menengah Menggunakan Kons,9
Rancang Bangun Aplikasi Sistem Informasi Geografis Untuk Pemetaan Penyebaran Pen,7
Pengembangan Model Dan Skenario Kebijakan Peningkatan Pemanfaatan Downstream Cru,7
Integrated System Dynamics Model And Geographic Information Systema To Support R,7
Model Driven - Decision Support Systems For Strategic Sustainable Development Of,7
Integrasi Spasial Sistem Dinamik Untuk Analisis Perubahan Pola Aliran Sungai Dan,7
Portofolio Teknologi Informasi Untuk Pengambilan Keputusan Strategis Investasi T,7
Klaster Server Honeypot Dengan Raspberry Pi Untuk Aplikasi Pelaporan Perilaku Pe,7
Pengembangan Perangkat Lunak Sistem Pengenal Keadaan Mental Manusia Berdasarkan,5
Peningkatan Kinerja Algoritma Classify By Sequence Menggunakan Algoritma Fsgp Da,7
"Supply Chain Assessment For Indonesia Logistic Service Provider, Automotive And",4
Rancang Bangun Aplikasi Customizable Enterprise Resource Planning Berorientasi S,5
Pemantauan Pendistribusian Bbm (Bahan Bakar Minyak) Menggunakan Gps(Global Posit,7
Ibm Sistem Pembelajaran Di Sekolah Menengah Kejuruan Surabaya Berbasis Multimedi,7
Pemanfaatan Kepadatan Lalu Lintas Kendaraan Roda Empat Untuk Mendukung Realibili,7
Electronic Voting: Sarana Untuk Pengamanan Dan Validitas Pemilihan Umum Di Indon,7
Pembuatan Sistem Identifikasi Nilai Simbolik (Kansei) Motif Batik Berdasarkan Fi,7
Pengembangan Perangkat Lunak Untuk Membantu Deteksi Dini Kanker Ovarium Dengan M,5
Strategies To Deal With Schedule Instability In Manufacturing Systems,1
Pembuatan Perangkat Lunak Untuk Analisa Peringatan Dini Pada Kerusakan Struktur,5
Integrasi Sistem Rba Dengan Sistem Rkakl Sesuai Peraturan Direktur Jenderal Perb,8
Keterampilan Interpersonal Sebagai Pendidikan Anak Jalanan Di Rumah Pintar Matah,8
Otomasi Dan Optimasi Produksi Busana Berbahan Baku Kain Batik,2
Gometry Virtual Online Lab ( Gvl ) ; Pengembangan Objek Geometri Euclid Dan Anal,5
Faktor Adopsi E-Government Indonesia Untuk Layanan G2B ( Government To Business,8
Perencanaan Modul Virtual Laboratory Untuk Percobaan Jarak Jauh Pengoperasian Da,5
Rancang Bangun Sistem Tracking Posisi Multi User Pada Lingkungan Bergerak Dengan,5
Sistem Realtime Untuk Monitoring Aktivitas Fisik User Bergerak Dengan Penghemata,7
Ibukreatif: Aplikasi Pembelajaran Terpadu  Untuk Menunjang Kreativitas Dan Pembe,5
Pembuatan Kerangka Kerja Penentuan Harga Perkiraan Sendiri (Hps) Untuk Proyek Pe,8
Managing Evolution And Quality Of Academic Information Systems,4
Managing Evolution And Quality Of Academic Information Systems,4
Rancang Bangun Sistem Tracking Posisi Multi User Pada Lingkungan Bergerak Dengan,5
Pengembangan Teknik Steganography Pada Citra Medis Untuk Menjaga Privasi Pasien,8
Rancang Bangun Mekanisme Transformasi Untuk Pengamanan Data,8
Pemetaan Dan Pemodelan Resiko Kerugian Ekonomi Akibat Bencana Alam,7
Optimalisasi Penggunaan Teknologi Informasi Untuk Perluasan Pasar Dan Peningkata,9
Pengembangan Sistem Prediksi Iklim Ensembel Berbasis Hybrid- Bmg (Hybmg) Sebagai,5
Early Detection Of Cervical Cancer Using Spline Smooth Support Vector Machine,7
Predicting Survival Of Cervical Cancer Based On Support Vector Machine And Bayes,7
