judul_proposal,deskripsi
BlackBerry Academic Program License Agreement - BBIC ITB,social and professional issue
Bantuan Penginternasional Terbitan Berkala Ilmiah (ITB Journal of Information and Communication Technologi) ISSN 1978-3086,social and professional issue
Bantuan Penginternasional Terbitan Berkala Ilmiah Batch IV Tahun ke III (ITB Journal of Engineering Science) ISSN: 1978-3051,social and professional issue
Proses Final Pendirian Universitas Trilogi,social and professional issue
Pembangunan dan Pelatihan Sistem Informasi Geografis Berbasis tempat Pemungutan Suara (TPS) dalam Menunjang Penyelenggaraan Pemilihan di Jawa Barat,information management
Pendirian Institut Tekonolgi Batam (ITEBA),social and professional issue
Penyusunan Dokumen Prioritas Proyek Infrastruktur Kota Bandung melalui Skema KPBU,enterprise computing
Studi Penilaian RKST dan BOQ Pekerjaan Pengadaan dan Pemasangan IBMS,enterprise computing
Pengembangan Situs Pengindeks Sitasi Jurnal-Jurnal Indonesia,software engineering
WCU PP - Pengembangan Media Pembelajaran Berbasis Komputer untuk Digital Learning - Lesson Study (DL-LS),software engineering
Pengembangan Model Mesin Vision,intelligent system
Pengembangan Sistem Internet Of Things (Iot) Untuk Pengelolaan Daya Dan Pemantauan Kondisi Lingkungan Tempat Tinggal,sistem komputer
Assessment of impact of the emission reduction measures of short-lived climate forcers on air quality and climate in Southeast Asia,information management
Study of Climate Change and Air Quality Impact from Short-Lived Climate Forcers (SLCFs) reduction in Indonesia,intelligent system
Kegiatan Asahi Glass Foundation,social and professional issue
Program Riset Unggulan 2012 Pusat Penelitian Teknologi Informasi dan Komunikasi (PPTIK-ITB),social and professional issue
Pembangunan Aplikasi Knowledge Management Online Monitoring System Diesel Engine Ukuran Besar,information management
Sistem Cerdas untuk Online Monitoring System pada Diesel Engine (Motor Bakar Torak Penyalaan Kompresi) Ukuran Besar,intelligent system
Sequential Pattern sebagai Fitur Pengelompokan Dokumen untuk Analisis Dokumen Pada Kasus BigData (Document Clustering based on Sequential Pattern for Document Analysis in Bigdata),information management
Biometrika - Application Framework Model untuk Evaluasi Metode-Metode Biometrik,graphics and visualization
Pemanfaatan Teknologi Digital Signage untuk mengembangkan Sistem Informasi dan Komunikasi Kepariwisataan Digital dalam Mendorong Industri dan Jasa Kreatif,enterprise computing
Hibah Jurnal yang Memenuhi Standar Mutu tatakelola,social and professional issue
Repository Informasi Objek Wisata dengan Teknologi Semantik Web dan Basisdata Multimedia untuk Pengelolaan dan Promosi Desa Wisata,information management
Bantuan Penginternasionalan Terbitan Berkala Ilmiah Batch III Tahun ke III,social and professional issue
Pelaksanaan Bantuan Penginternasionalan Terbitan Berkala Imiah Batch IV Tahun ke II (ITB Journal of Engineering Science),social and professional issue
Pelaksanaan Bantuan Penginternasionalan Terbitan Berkala Ilmiah Batch IV Tahun Ke II (Journal of Information an Communication Technology),social and professional issue
Studi Potensi Ekonomi Industri dan Sumberdaya Manusia dalam rangka Pendirian Institut Teknologi di SUmatera,social and professional issue
Penerapan dan Implementasi Teknologi Virtual Class untuk Daerah Rural,software engineering
Pengembangan Sistem Remote Monitoring Siaran Radio FM,sistem komputer
Pengembangan Sistem Pasar Virtual untuk Pemberdayaan Ekonomi Rakyat,software engineering
Penerapan dan Implementasi PSS Akses Informasi/Multimedia Berbasis Jaringan Broadband untuk Mendukung Gerakan Guru Melek Internet (GGMI) di Jawa Barat,sistem komputer
Solusi Smart (Card) Untuk Kebutuhan Konektivitas MP3EI . Studi Kasus : Data Rekam Medis Elektronik,sistem komputer
Pemanfaatan Teknologi Digital Signage untuk Mengembangkan Sistem Informasi dan Komunikasi Kepariwisataaan Digital dalam Mendorong Industri dan Jasa Kreatif,enterprise computing
Pengembangan Teknologi Pengelolaan Data Spasial untuk Model Korporasi pada Platform Google Maps,information management
Teknologi Pelacakan Dokumen Untuk Meningkatkan Efisiensi Birokrasi Dan Mendukung Percepatan Dan rluasan Ekonomi Indonesia,information management
Perancangan dan Implementasi Sistem Keamanan Data untuk Radar,sistem komputer
"Solusi Smart (Card) Untuk Kebutuhan Konektivitas MP3EI, Studi Kasus: Data Rekam Medis Elektronik",sistem komputer
Teknologi Pelacakan Dokumen Untuk Meningkatkan Efisiensi Birokrasi Dan Mendukung Percepatan Dan Perluasan Ekonomi Indonesia,information management
Pemberian Bantuan Dana Riset Pembangunan Indonesia Terkait Sistem Analisis Komunikasi Massa Online (Studi Kasus Kota Bandung),sistem komputer
Pemberian Bantuan Dana Riset Mobil Listrik Nasional,social and professional issue
Penugasan Penyusunan Sistem Aplikasi Indeks Sitasi Jurnal Nasional,software engineering
Kegiatan Konferensi Nasional Informatika 2011 (KNIF 2011),social and professional issue
Pendampingan Penguatan Tata Kelola TI Perum Perhutani 2012,enterprise computing
Pagelaran Mahasiswa Nasional Bidang Teknologi Informasi dan Komunikasi (geMasTIK) Tahun 2013,social and professional issue
Cooperative Relationship With Aim of Developing and Fostering Academic links Between their Two Institutions,social and professional issue
Utilizing ICT For Better City,enterprise computing
Job Fair ITB,social and professional issue
Seminar Internasional Conference on Advanced Informatics Concepts theory And Applications (ICAICTA),social and professional issue
Dana Legalisir,social and professional issue
Teknologi Konferensi Multimedia untuk Sekolah Pedesaan dengan Bandwith Internet Terbatas,sistem komputer
"Penerapan Smart Gateway untuk Mendukung Komunitas Guru Belajar (KGB) di Bandung, Cianjur, dan Subang - Jawa Barat",intelligent system
Pemanfaatan Social Media Marketing untuk Sentra Industri Rajutan Binongjati,social and professional issue
Penerapan Sistem Kelas Virtual Multimedia Berbasis Teknologi WebRTC untuk Pembelajaran Digital di Sekolah Dasar Pedesaan di CIanjur - Jawa Barat,sistem komputer
Pengembangan Aplikasi Sarana Pelayanan Masyarakat (SAPA) Berbasis Mobile untuk Mendukung Integrasi Informasi Program Posyandu Jawa Barat,software engineering
Pemanfaatan Electronic Marketplace di Indonesia untuk Meningkatkan Jangkauan Pasar UKM di Kota Cimahi,enterprise computing
Pemanfaatan Media Sosial untuk Peningkatan Usaha bagi Start-Up Company,enterprise computing
Pemberdayaan Komunitas Guru di Cianjur untuk Mendukung Gerakan Guru Melek Internet (GGMI),social and professional issue
Pengembangan Sistem untuk Prediksi Kredibilitas Informasi dari jejaring Sosial Online,intelligent system
Pengembangan Model Adopsi Cloud Computing untuk Perguruan Tinggi,sistem komputer
Genomic Data Mining Untuk Prediksi Resiko Penyakit Kompleks Dalam Rangka Menunjang Personalized Medicine,information management
Manajemen Informasi Unpredictable pada Basisdata Spatio Temporal - Kasus Tanggap Darurat Kebencanaan Indonesia,information management
Manajemen Informasi \Unpredictable\ pada Basisdata Spatio-Temporal Kasus Tanggap Darurat Kebencanaan di Indonesia,information management
Analisis Sentimen Real Time Pada Microblogging,intelligent system
"Rancangan Dasar Sistem Biometrik Berbasis Pengenalan Sidik Jari, Wajah, dan Suara",intelligent system
Pengembangan Perangkat dan Layanan Konferensi Video pada Private Area Networks,software engineering
Inovasi Platform Cloud untuk Pelayanan Publik di Indonesia,sistem komputer
Pendeteksi Plagiarisme Cerdas untuk Karya Ilmiah Multibahasa (Indonesia dan Inggris),intelligent system
Pembangkitan Otomatis Liputan Berit Waktu Nyata dengan Peringkasan Timeline (Generating Live Report Automatically Using Timeline Summarization)),information management
Peringkasan Terpandu Otomatis untuk Aggregator Berita Bahasa Indonesia,intelligent system
Pengembangan Sistem Peringkasan Opini,intelligent system
Pengembangan Sistem Peringkasan Opini (Lanjutan Tahun Kedua),intelligent system
Pengembangan Mesin Penerjemah Teks Bahasa Sunda ke dalam bahasan Indonesia Menggunakan Metode Berbasis Hybrid,intelligent system
Pembangkitan Peta Penelitian Otomatis dari Kumpulan Makalah Ilmiah - Penelitian Lanjutan 2014,intelligent system
Peringkasan Otomatis Informasi Pelengkap Berita Berbahasa Indonesia dari Media Sosial,intelligent system
Pengembangan Sistem parkir Berbasis Mesin Vision,graphics and visualization
Pengembangan Simulasi Animasi Menggunakan Teknik Animasi Diferensial,graphics and visualization
Pengembangan Sistem Perangkat Lunak Pemilahan Frekuensi Napas untuk Diagnosa Penyakit Paru dan Saluran Pernapasan,software engineering
BotBerita: Pembangkit Artiket Berita Otomatis sebagai Pendukung Jurnalis (BotBerita: News Writing Bot for Supporting Journalist),intelligent system
Pengembangan Sistem Interktif untuk Peringkasan Multi Paper,intelligent system
Pengembangan Beberapa Alogaritma Enkripsi Selektif Untuk Citra Digital Dengan Menggunakan Fungsi Chaos,algoritma dan pemrograman
Conversational Recommender System berbasis Kebutuhan Fungsional Produk,intelligent system
Kendali Terdistribusi dengan Algoritma Konsensus pada Sekelompok Robot Humanoid,sistem komputer
Pembangkitan Peta Penelitian Otomatis dari kumpulan Makalah Ilmiah,intelligent system
Algoritma Resampling Baru dan Konsep Partikel Fleksibel pada Filter Partikel untuk Penentuan Lokasi pada Robot Wahana Gerak Mandiri,algoritma dan pemrograman
Pengembangan Metode Berbasis Valid Database untuk Pengangganan Data Hilang dalam Proses Ekstraksi Struktur Bayesian network dari Data,information management
Pengembangan Sistem Peringkasan Progresif Otomatis untuk Kumpulan Makalah Ilmiah,intelligent system
Digital Store Berbasis Contact Center Terintegrasi Untuk Penguatan UMKM di Indonesia,information management
Pengembangan Rekayasa kognitif dengan Studi Kasus Robot Kognitif Probabilistik,intelligent system
Pengembangan Smart Gateway untuk Mendukung Layanan Komunitas guru belajar di Pedesaan,intelligent system
Pemanfaatan Sequential Pattern pada Tahap Preprocessing Untuk Peningkatan Kinerja Proses Klasifikasi Data Dengan Struktur Kompleks & Progresif,information management
Integrasi Instrumentasi Medis dengan Sistem Manajemen DOTS Multimedia ntuk Mendukung Program Nasional Penanggulangan Tuberkolosis,information management
Pengembangan Rural Telepresence untuk Pembelajaran Jarak Jauh di Sekolah Pedesaan,sistem komputer
Pengembangan open Information Extraction (Open IE) untuk Pembangunan Basis,information management
Pengelolaan Data Spatio-Temporal (STATEM) untuk Kebencanaan di Indonesia,information management
Pengembangan Smart Gateway Untuk Mendukung Layanan Komunikasi Guru Belajar di Pedesaan,intelligent system
Integrasi Instrumentasi Medis dengan Sistem Manajemen DOTS Multimedia untuk Mendukung Program Nasional Penanggulangan Tuberkulosis,information management
Model Deteksi Kemacetan Berdasarkan Tingkat Kepadatan dan Kecepatan Kendaraan,intelligent system
"Pengembangan Perangkat Lunak Lunak Perisalah Rapat dengan Memanfaatkan Teknologi Pengenal Ucapan, Mesin Translasi, dan Peringkas Otomatis",intelligent system
Digital Store Berbasis ContactCenter Terintegrasi Untuk Penguatan UMKM di Indonesia,information management
Simulasi Risiko Penyebaran Api di Kawasan Pemukiman Padat Perkotaan Berbasis Model data Spatio-Temoral,information management
Pengembangan Aplikasi dan Konten Rencana Pelaksanaan Pembelajaran (RPP) pada Platform Android untuk Mendukung Pendidikan Nasional,software engineering
Sistem Pemahaman Konten Citra Digital dengan Metode Non Statistik,graphics and visualization
Pengembangan Model Indigenous Knowledge Management berbasis Teknologi Informasi,intelligent system
Desain dan Implementasi Sistem Komunikasi Multimedia Real-Time di Jaringan Internet Pedesaan,sistem komputer
Pengembangan Aplikasi Ponsel Cerdas Berbasis Moodle untuk Pembelajaran Online di Perguruan Tinggi,software engineering
Pengembangan Chatbot Berbahasa,intelligent system
Indonesia Peringkasan Terpandu Otomatis,intelligent system
Sistem Pengenalan Ucapan untuk Bahasa Indonesia,intelligent system
Impelmentasi Lokalisasi dan Pemetaan Serentak Berbasis Partikel Filter Terdistribusi pada Mobile Robot Pioneer,sistem komputer
Pengembangan Chatbot Berbahasa Indonesia,intelligent system
Peringkasan Terpandu Otomatis,intelligent system
kemitraan Dalam Pembuatan Proses Bisnis Sistem Informasi Rumah Sakit RSAB Harapan Kita,enterprise computing
Blackberry Academic Program License Agreement,social and professional issue
Power system disturbance suppresion by reactive power compensation,hardware
Kajian Pembiayaan Direct Charges Teknologi Informasi dan Komunikasi (TIK) Kontraktor Kontrak Kerja Sama (KKKS),social and professional issue
Pengembangan kemampuan Perangkat Lunak Perisalah Rapat Secara Real Time Dalam Bahasa Indonesia Milik PT Industri Telekomunikasi Indonesia (Persero),enterprise computing
Kegiatan Swakelola Implementasi Sistem Operasi Terpadu (SOT)Pengelolaan Sumber Daya Migas Tahap 3,sistem komputer
Research on Indonesian Social Media on Purchasing Behaviour,social and professional issue
Research Agreement between MarkAni Incorporated (KOREA) and Institut Teknologi Bandung,social and professional issue
Analisis dan Peningkatan Tata Kelola Keamanan Informasi,information management
Penyusunan Dokumen Masterplan Smart City Kota Magelang,enterprise computing
Implementasi Secure And Forensic Ready Transaction Network Di ITB,sistem komputer
Kajian Akademik Pengadaan Jasa Sewa Layanan Informasi Dan Komunikasi (INFOKOM) PT POS Indonesia (Persero),enterprise computing
Grand Design Data Center (DC) Dan DIsaster Recovery Center (DRC) Kerjasama Dengan ITB,information management
Program Pembangunan Sistem Informasi / Data Base Jalan Dan Jembatan Kota Semarang,information management
Rancang Bangun Basis Data Pegawai Untuk SIM Kepegawaian Dan Rancangan Interoperabilitas Data Rekam Medis Untuk Sistem Informasi Layanan,information management
"Kegiatan Swakelola Pemutakhiran Laporan Dan Sistem Pelaporan Sumberdaya, Cadangan Dan Perkiraan Profil Produksi",software engineering
"Letter of Cooperation Agreement Between Gloczus, Inc and School of Electrical Engineering and Informatics ITB",social and professional issue
Belanja Jasa Konsultansi Pembangunan / Pengembangan Aplikasi SKPD Tahun 2015,enterprise computing
"Kegiatan Swakelola Enterprise Architecture (EA), Enterprise PSC Data Architecture And Integration Berbasis Sevice Oriented Architecture (SOA)",enterprise computing
Kajian Business Intelligent dan Data Solution Sub Bidang Analisa dan Evaluasi Operasi Sistem,information management
Pengembangan Bisnis Proses Pelayanan Secara Elektronik (PSE) Pada BPMD-PTSP Kota Payakumbuh,enterprise computing
Belanja Jasa Konsultasi Software Aplikasi Pengembangan Platform Smart City Untuk Integrasi Data Dan Layanan,enterprise computing
Jasa Penyusunan dan Review Master Plan Teknologi Informasi PT Pos Indonesia (Persero),enterprise computing
Kegiatan Swakelola Implementasi Sistem Operasi Terpadu (SOT) Pengelolaan Sumber Daya Migas Tahap 2,sistem komputer
Belanja Jasa Konsultansi Software Aplikasi Aplikasi Absensi Pegawai Online,software engineering
Pengadaan Jasa Konsultansi Teknologi Informasi pada Jasa Sewa Layanan Infokom,enterprise computing
Secure And Ready Forensic Communication Network,sistem komputer
Jasa Konsultasi Studi Kelayakan Ducting bersama dan Blud,enterprise computing
Belanja Jasa Konsultasi Perencanaan Aplikasi Smart Government Tahun 2016,enterprise computing
Belanja Jasa Konsultasi Studi Kelayakan Microcell Pole / MCP,enterprise computing
Pengadaan Jasa Konsultan untuk Melaksanakan Network Audit terhadap Penggunaan / Pemanfaatan Tiang Tumpu PLN oleh PT Link Net.Tbk / PT First Media,sistem komputer
Pengembangan Sistem Informasi Kesehatan Dinas Kesehatan Tahun 2016,information management
Belanja Jasa Konsultasi Pembuatan Sistem Aplikasi Pelaporan dan Penugasan,software engineering
"GANESHA HEJO: Program Pengelolaan Sampah Terintegrasi di Kawasan Ganesha Program Ganesha Hejo merupakan bagian dari Gerakan Ganesha Madani. Program ini adalah program yang mengajak masyarakat berperan aktif dalam penyelesaian permasalahan sampah melalui sistem dan strategi yang menarik juga menguntungkan bagi masyarakat. Caranya adalah dengan memberikan sebuah solusi mengenai sampah.Sampah yang biasanya hanya diolah oleh pihak-pihak tertentu saja, melalui program ini maka masayarakat sendiri dapat mengubah sampah menjadi produk yang mempunyai nilai jual. Hal ini akan dapat menumbuhkan rasa tanggung jawab sebagai warga dan masyarakat kota Bandung yang dewasa ini banyak diliputi permasalahan yang berhubungan dengan sampah dan lingkungan.Dari masyarakat untuk masyarakat. Masyarakat yang akan mengolah sampah, masyarakat juga yang akan merasakan hasil dan manfaat dari pengolahan sampah itu sendiri. Lingkungan akan menjadi bersih, rapi dan tertata. Sehingga tak perlu lagi ada tempat Penampungan Sampah yang tidak terawat, terjaga atau pun menebarkan aroma yang tidak sedap sehingga mengganggu aktifitas warga yang berdomisili dekat dengan TPS.",social and professional issue
"Pengembangan Collaborative Learning System Berbasis Komputasi Awan (Development of Collaborative Learning System on the Cloud) Tuntutan akan peningkatan profesionalisme bagi tenaga pendidik atau guru dirasakan semakin besar. Lesson Study merupakan suatu model pembinaan profesi pendidik (guru) melalui pengkajian pembelajaran secara kolaboratif dan berkelanjutan berlandaskan prinsip-prinsip colleagues and mutual learning untuk membangun komunitas belajar. Kata kunci di sini adalah pembelajaran secara kolaboratif di antara pada pendidik atau guru. Lesson Study dilaksanakan dalam 3 tahapan, yaitu (1) perencanaan (plan); (2) pelaksanaan (do); dan (3) refleksi (see). Digital Lesson Study adalah platform untuk melaksanakan setiap aktivitas di dalam Lesson Study yang berbasiskan teknologi informasi dan komunikasi (TIK). Namun, tingginya kebutuhan dan aktivitas secara online dari komunitas pembelajaran (learning community) belum diimbangi dengan tersedianya suatu sarana atau sistem pembelajaran kolaboratif yang terintegrasi dan mudah diakses dari mana pun. Penelitian ini bertujuan untuk mengembangkan suatu sistem pembelajaran kolaboratif dalam bentuk portal pembelajaran yang mampu memudahkan learning community yang meliputi guru-guru dan para siswa untuk saling berkolaborasi melaksanakan pembelajaran. Sistem pembelajaran kolaboratif ini akan dikembangkan dengan konsep customized social network. Di dalam komunitas guru belajar yang dibangun selama ini di Bandung, Subang, dan Cianjur, Facebook merupakan portal yang paling sering dipergunakan padahal portal tersebut tidak dirancang secara khusus untuk memenuhi kebutuhan pembelajaran khususnya untuk melaksanakan aktivitas-aktivitas Lesson Study. Dengan customized social network, pengguna dapat memanfaatkan fasilitas: (1) jejaring sosial, (2) ruang menulis blog, (3) tempat penyimpanan (repository) bahan ajar, (4) ruang mengobrol (chatting), (5) ruang menulis, dan (6) kolaborasi. Dengan demikian, diharapkan permasalahan-permasalahan yang dihadapi dalam pelaksanaan Lesson Study, seperti tidak adanya sistem pembelajaran kolaboratif yang terintegrasi dan tersedia di jaringan komputasi awan untuk menunjang Online Lesson Study atau Digital Lesson Study, dapat diatasi.",sistem komputer
"Pengembangan Perangkat Digital Signage dengan   Konsumsi Daya Rendah dan Ukuran yang Kompak Teknologi Informasi dan Komunikasi menjadi teknologi yang tepat dan penting untuk menjaga keberlanjutan pertumbuhan ekonomi. Karena itu pengembangan TIK perlu terus dilakukan untuk meningkatkan daya saing bangsa dan mewujudkan ekonomi berbasis pengetahuan.TIK dapat memberikan solusi yang murah untuk unit usaha kecil dan menengah untuk dapat berkembang lebih pesat lagi. Hal ini penting mengingat banyak sekali UMKM yang memiliki potensi besar untuk berkembang dan memberikan kontribusi yang besar pada pertumbuhan ekonomi nasional yang secara tidak langsung akan dapat memberikan lapangan pekerjaan yang lebih luas sehingga tingkat kesejahteraan masyarakat dapat meningkat.Pada saat ini terdapat banyak produk-produk Digital Signage komersial yang dapat digunakan. Namun produk-produk ini harganya cukup mahal, sehingga hanya perusahaan-perusahaan besar yang menggunakan produk ini sebagai media informasi dan promosi. Konten multimedia dapat menjadi media yang sangat baik sebagai media informasi dan promosi karena lebih menarik dan memberikan pengalaman yang lebih baik.Program ini bertujuan untuk menerapkan dan mengimplementasikan perangkat Digital Signage yang dapat mendukung peningkatan kualitas dan efisiensi dari layanan media informasi dan promosi yang terjangkau dan efisien.",enterprise computing
"Optimalisasi Bandwidth Internet di Instansi Pemerintah Melalui Pengukuran Produktivitas Penggunaannya   (Studi Kasus di Kampus ITB-Bandung) Kebutuhan pengukuran produktivitas penggunaan bandwidth internet perlu dilakukan, karena internet sudah banyak digunakan oleh instansi pemerintah. Hal ini diperlukan dalam rangka mengoptimalkan penggunaan bandwidth internet di instansi pemerintah, dan dapat membantu dalam mengambil keputusan kebijakan penyediaan bandwidth internet dimasa yang akan datang. Pengukuran produktivitas penggunaan bandwidth internet di instansi pemerintah dianggap sangat penting, karena jika dilihat dari penggunaan banwidth internet dapat meningkatkan layanan (service level) kepada masyarakat sebagai bagian dari good corporate goverment, dan dapat lebih meningkatkan kesejahteraan masyarakat. Proposal penelitian ini, proses pengukuran produktivitas penggunaan bandwidth internet, dilakukan dalam dua tahapan, sebagai berikut : (1) mengaplikasikan framework pengukuran produktivitas penggunaan bandwidth internet, dan (2) melakukan pengukuran produktivitas penggunaan bandwidth internet di instansi pemerintah. Proposal penelitian ini merupakan implementasi dari hasil konsep penelitian sebelumnya, yang fokus pada  tiga tahapan, yaitu : (1) memahami tentang teori produktivitas, (2) memahami cara mengukur produktivitas penggunaan bandwidth internet, dan (3) membangun framework pengukuran produktivitas penggunaan bandwidth internet. Jadi penelitian pada proposal ini merupakan kelanjutan dari penelitian sebelumnya.Berdasarkan hasil analisis pada penelitian sebelumnya, penelitian ini akan menggunakan variabel : Pengguna Internet, Waktu Peruntukan, Duration, Tujuan, Content, Tempat, Volume, Fasilitas Komputer, Reliability Connection, Bandwidth Utility.Variabel yang ada pada pengukuran, ada yang didapat langsung berupa data kuantitatif pengukuran yaitu data tangibel dan ada data yang intangibel yang berupa data kualitatif. Untuk pengabungan prosesnya, baik itu tangibel maupun intangibel data, penelitian ini menggunakan teori AHP atau Analytical Hierarchy Proces dengan cara membandingkan derajat nilai kepentingan suatu variabel dengan nilai variabel yang lain.",sistem komputer
"SOA Quality Assessment Framework Cakupan Riset<br>Riset ini bertujuan untuk menghasilkan kerangka kerja (framework) untuk menilai kualitas arsitektur berorientasi service (SOA quality assessment framework) pada aplikasi berbasis SOA (service oriented architecture). SOA menawarkan banyak kelebihan untuk diterapkan pada pembangunan perangkat lunak. Salah satu kelebuihannya antara lain adalah reusablity, yaitu peluang untuk mengguna-ulang service pada beberapa perangkat lunak, sehingga mengurangi biaya pembangunan P/L sekaligus meningkatkan kualitas P/L yang dihasilkan. Kelebihan lainnya adalah sifat service yang loosely couple, sehingga memudahkan perawatan P/L (meningkatkan faktor kualitas maintainability).<br><br>Dengan berbagai kelebihan yang ditawarkan, maka SOA banyak diadopsi di berbagai proyek pembangunan P/L. Akan tetapi, (1) karakteristik SOA yang yang berbeda, yaitu mengkomposisi P/L dari sekumpulan service, serta (2) banyaknya metode/teknik untuk mendekomposisi P/L menjadi sejumlah service, menimbulkan masalah saat kualitas P/L yang dihasilkan ingin dinilai. Kualitas service dan kualitas P/L berorientasi service agak berbeda dengan kualitas perangkat lunak konvensional. Ada faktor-faktor kualitas yang berbeda yang perlu dipertimbangkan. Kerangka kerja penilaian kualitas yang ada saat ini belum mempertimbangkan kualitas service sebagai elemen pembentuk perangkat lunak, serta kualitas arsitektur berorientasi service.<br><br>Karena itu,  diperlukan suatu kerangka kerja penilaian kualitas yang lebih khusus untuk mengukur kualitas service dan kualitas arsitektur P/L berorientasi service, agar kualitas minimal pada setiap pembangunan P/L berorientasi service dapat dicapai.<br><br>Sasaran<br>Sasaran dari riset ini adalah pengembangan kerangka kerja (framework) untuk menilai kualitas arsitektur berorientasi service (SOA quality assessment framework) pada aplikasi berbasis SOA (service oriented architecture). Kerangka kerja yang dihasilkan akan mengacu pada kerangkat kerja pengukuran kualitas P/L serta prinsip-prinsip yang harus diterapkan pada P/L berbasis SOA.<br><br>Nilai kecendekiawanan maupun kemitraan<br>Nilai kecendiakawanan terletak pada usulan baru kerangka kerja penilaian kualitas yang telah dibuat spesifik untuk menilai kualitas P/L berbasis SOA. Dengan adanya kerangka kerja ini, maka P/L berbasis SOA akan dapat dinilai kualitasnya dengan cara yang standard dan terukur. Hal ini akan membantu para pengembang P/L maupun pemilik P/L yang meminta pihak lain untuk membangun P/L yang dibutuhkannya.<br><br>Dampak yang dihasilkan<br>SOA telah menjadi jargon yang banyak digunakan. Akibatnya, banyak P/L berbasis SOA yang dibangun dengan harapan untuk mendapatkan nilai tambah yang ditawarkan SOA. SOA Quality Assessment Framework yang dihasilkan dari penelitian ini dapat menjadi acuan yang dapat digunakan untuk menilai kualitas P/L berbasis SOA. Dengan adanya acuan untuk menilai kualitas PL berbasis SOA maka lambat laun akan membantu meningkatkan kualitas P/L berbasis SOA yang ada.<br>",software engineering
